Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,49.8377134502195
1992,49.3339691253208
1993,48.8875740085368
1994,48.5229591420895
1995,48.213674962152
1996,48.0233215390969
1997,49.4521734838805
1998,50.7381433888386
1999,51.8185589441671
2000,52.7875563584334
2001,53.5870950942252
2002,54.3644995575795
2003,54.904106229937
2004,55.3727054090406
2005,55.975063486481
2006,55.7194580476738
2007,55.6184587661844
2008,53.05273972543
2009,52.8266861992729
2010,50.0851188004806
2011,46.747548398947
2012,46.7259374658511
2013,46.4456642926185
2014,43.4392532843804
2015,43.9634287563935
2016,45.0360161687889
2017,44.255710204089
2018,44.0074461404754
2019,43.3697202479187
2020,40.8507979348341
2021,39.8822367529327
2022,37.744360236569
2023,37.8614133785264
2024,37.5104391005333
2025,..
