Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,..
1996,..
1997,..
1998,..
1999,..
2000,..
2001,..
2002,..
2003,..
2004,..
2005,10.343
2006,10.225
2007,9.249
2008,8.9
2009,10.793
2010,11.272
2011,10.074
2012,8.706
2013,7.31
2014,7.676
2015,8.071
2016,9.131
2017,..
2018,8.843
2019,7.282
2020,7.068
2021,6.437
2022,6.698
2023,..
2024,..
