Year,Value
1960,-1.15334064967861e-14
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,-1.13521845110734e-14
1968,0
1969,0
1970,..
1971,..
1972,..
1973,0.0459830519608487
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0.0331491712707182
1980,0
1981,0
1982,0
1983,0.0239506616370277
1984,0.0374335554390956
1985,0
1986,0
1987,0.0696378830083565
1988,0
1989,0.0169750466813784
1990,2.38898669869e-17
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0.0255839901075238
1998,0
1999,0
2000,0
2001,0
2002,0.000591655639099972
2003,0
2004,0.0121531857209894
2005,0.00879943573285036
2006,0.0156546457004085
2007,0.000120700532380952
2008,0.183127477543086
2009,0.0000446170921686458
2010,0.000765229058670625
2011,0.0000799436340321789
2012,0
2013,0
2014,0.0000567460861551043
2015,0.0000281358378328193
2016,0.000886447037293952
2017,0
2018,0
2019,0
2020,0.00521359642662019
2021,0.0324886420082993
2022,0.00121601391216182
2023,0.00113489127328465
2024,..
2025,..
