Year,Value
1960,108680000
1961,106810000
1962,94500000
1963,88510000
1964,89510000
1965,111230000
1966,22210000
1967,2830000
1968,5620000
1969,4210000
1970,6090000
1971,7290000
1972,33520000
1973,115530000
1974,93830000
1975,424490000
1976,509140000
1977,593470000
1978,595940000
1979,655430000
1980,673440000
1981,799540000
1982,804440000
1983,1314450000
1984,1218720000
1985,1972680000
1986,1911510000
1987,1226760000
1988,1227550000
1989,1198770000
1990,1358540000
1991,1511210000
1992,1952300000
1993,1283800000
1994,1310090000
1995,373380000
1996,2294530000
1997,..
1998,..
1999,..
2000,..
2001,..
2002,..
2003,..
2004,..
2005,..
2006,..
2007,..
2008,..
2009,..
2010,..
2011,..
2012,..
2013,..
2014,..
2015,..
2016,..
2017,..
2018,..
2019,..
2020,..
2021,..
2022,..
2023,..
2024,..
2025,..
