Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,133.157190924
1971,134.2075748426
1972,135.1220774739
1973,136.0365801053
1974,136.9510827366
1975,137.865585368
1976,138.7800879993
1977,139.6945906307
1978,140.609093262
1979,141.3941851436
1980,142.1792770253
1981,144.8451384695
1982,147.5109999137
1983,149.4147758318
1984,151.3185517499
1985,153.222327668
1986,152.2301785868
1987,146.3204210163
1988,143.6459321888
1989,140.9714433612
1990,135.6569752394
1991,134.7597273747
1992,133.86247951
1993,132.9652316452
1994,132.0679837805
1995,132.2060219136
1996,133.6036580105
1997,135.0012941075
1998,136.3989302045
1999,137.7965663014
2000,139.1942023984
2001,136.1789319299
2002,133.1636614615
2003,148.3909930118
2004,122.4225692348
2005,121.2866304317
2006,120.1506916286
2007,119.0147528255
2008,117.8788140224
2009,116.7428752193
2010,115.6069364162
2011,112.2595116901
2012,108.912086964
2013,105.5128979381
2014,102.1482184453
2015,98.8698127858
2016,103.4423259425
2017,103.6148736088
2018,95.9365024588
2019,100.4227417824
2020,110.0854110948
2021,131.998964714
2022,..
2023,..
2024,..
2025,..
