Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,..
1996,..
1997,..
1998,..
1999,..
2000,..
2001,59.9103207179669
2002,61.6384793639264
2003,64.9071807206875
2004,67.1749295059094
2005,70.300040738507
2006,75.1153209362712
2007,81.1708226078018
2008,83.2335798556298
2009,86.9986796344792
2010,92.501740016207
2011,93.434132864862
2012,93.1160142531823
2013,90.2279318804187
2014,88.0646007046889
2015,86.7679522186824
2016,84.0804391360283
2017,79.5556072738612
2018,75.441160157782
2019,72.3613449346776
2020,81.0726558295782
2021,74.4472993704123
2022,68.3171872733754
2023,61.9357764907962
2024,59.3116245474103
2025,..
