Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,..
1996,..
1997,..
1998,..
1999,..
2000,..
2001,..
2002,..
2003,..
2004,..
2005,..
2006,..
2007,..
2008,45.79
2009,43.717
2010,41.902
2011,40.33
2012,40.345
2013,40.913
2014,41.854
2015,..
2016,43.723
2017,43.723
2018,42.758
2019,42.724
2020,44.52
2021,41.174
2022,41.928
2023,42.89
2024,..
