Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,12.3938335895359
1978,0.448662637372735
1979,2.26433137301889
1980,6.63763027888631
1981,6.12338530533319
1982,6.43212145274833
1983,10.7301456603332
1984,2.49156453400215
1985,6.05996991063435
1986,7.76430529168408
1987,-0.255303258488595
1988,1.26995012150029
1989,15.6373185566697
1990,14.1512702228617
1991,5.43525695025883
1992,6.7386811523716
1993,2.96897921969565
1994,6.8617322590588
1995,1.88459153084248
1996,2.04656660644706
1997,1.24555949988834
1998,6.00440267503002
1999,-0.373208627520512
2000,-0.413869577569187
2001,0.773909402226451
2002,0.924509731059914
2003,2.14726310376403
2004,3.09507950152911
2005,2.00647430326822
2006,10.6494515467628
2007,5.04891837327762
2008,23.6246844255135
2009,3.16159648072517
2010,8.07745609713074
2011,5.91051095801734
2012,4.60681522593885
2013,6.1436238894444
2014,3.44532356315609
2015,2.16975211695323
2016,1.36200664175068
2017,1.78355010971296
2018,2.27304680591043
2019,0.844355656854063
2020,-0.708587970279524
2021,2.2036043491638
2022,2.61607320131351
2023,1.82791592575342
2024,1.89510102183445
