Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,214200000
1966,235000000
1967,225600000
1968,200400000
1969,249600000
1970,228400000
1971,242200000
1972,281600000
1973,310100000
1974,385700000
1975,435900000
1976,567200000
1977,690400000
1978,795300000
1979,982500000
1980,1164900000
1981,1448600000
1982,1650100000
1983,1786600000
1984,1909700000
1985,1970600000
1986,2240500000
1987,2286700000
1988,2349600000
1989,2425500000
1990,2761100000
1991,2958000000
1992,3610400000
1993,3884400000
1994,4357300000
1995,4714700000
1996,4911600000
1997,5137300000
1998,5609800000
1999,5778300000
2000,5998700000
2001,6363700000
2002,6794000000
2003,7228700000
2004,8090900000
2005,8925600000
2006,10675400000
2007,12131300000
2008,16080143000
2009,17421892000
2010,19265001000
2011,20962145900
2012,22460538800
2013,24462652500
2014,26161826900
2015,27396782700
2016,28323711300
2017,29541989500
2018,30793311100
2019,31597134500
2020,31027272000
2021,32870231100
2022,34623124000
2023,36272818200
2024,37880125600
