Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,38585.4
1991,38688.05
1992,38790.7
1993,38893.35
1994,38996
1995,39098.65
1996,39201.3
1997,39303.95
1998,39406.6
1999,39509.25
2000,39611.9
2001,39267.05
2002,38922.2
2003,38577.35
2004,38232.5
2005,37887.65
2006,37542.8
2007,37197.95
2008,36853.1
2009,36508.25
2010,36163.4
2011,35975.54
2012,35787.68
2013,35599.82
2014,35411.96
2015,35224.1
2016,35519.7
2017,35815.3
2018,36110.9
2019,36110.9
2020,36110.9
2021,36110.9
2022,36110.9
2023,36110.9
2024,..
2025,..
