Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,8910000
1971,10288000
1972,27308000
1973,33109000
1974,24711000
1975,50749000
1976,81518000
1977,65473000
1978,76100000
1979,75401000
1980,140655000
1981,82833000
1982,178723000
1983,121270000
1984,153451000
1985,87008000
1986,57477000
1987,76616000
1988,103653000
1989,267024000
1990,170616000
1991,102317000
1992,-1592000
1993,98245000
1994,-3509000
1995,68831000
1996,61788000
1997,14097000
1998,19381000
1999,-36469000
2000,83772000
2001,33076000
2002,-9819000
2003,46845000
2004,58368000
2005,-262729000
2006,-144041000
2007,912000
2008,150496000
2009,183114000
2010,223298000
2011,311956000
2012,440752000
2013,632187000
2014,776639000
2015,608195000
2016,812588000
2017,1430463000
2018,1511047000
2019,2641029000
2020,1976869000
2021,1025298000
2022,1436163000
2023,1700731000
2024,1874048000
2025,..
