Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,33.57595
1972,31.06926
1973,28.13012
1974,25.41998
1975,23.60559
1976,20.90029
1977,22.09854
1978,..
1979,..
1980,16.83096
1981,17.02737
1982,17.35244
1983,18.35644
1984,15.47348
1985,18.24843
1986,18.65023
1987,..
1988,18.08941
1989,20.49162
1990,..
1991,..
1992,20.31562
1993,19.92926
1994,21.5967
1995,..
1996,..
1997,..
1998,..
1999,..
2000,17.36166
2001,19.4018
2002,..
2003,20.85074
2004,23.40954
2005,..
2006,21.67777
2007,..
2008,..
2009,..
2010,..
2011,42.55324
2012,41.76315
2013,43.0705
2014,43.12418
2015,41.76367
2016,..
2017,..
2018,..
2019,..
2020,..
2021,..
2022,..
2023,..
2024,..
2025,..
