Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,500
1991,750
1992,2000
1993,4400
1994,7300
1995,10000
1996,12000
1997,12000
1998,11000
1999,9300
2000,7100
2001,5600
2002,4900
2003,4500
2004,4000
2005,3500
2006,3100
2007,2700
2008,2300
2009,2100
2010,1800
2011,1700
2012,1600
2013,1600
2014,1500
2015,1500
2016,1500
2017,1500
2018,1400
2019,1400
2020,1400
2021,1500
2022,1500
2023,1400
2024,1200
2025,..
