Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,57.2352104187012
1986,75.961540222168
1987,..
1988,70.2602233886719
1989,87.8393096923828
1990,82.6933822631836
1991,80.5869064331055
1992,98.4830780029297
1993,112.903228759766
1994,110.507247924805
1995,107.520561218262
1996,136.495086669922
1997,138.188064575195
1998,..
1999,..
2000,..
2001,..
2002,131.052627563477
2003,..
2004,116.605621337891
2005,119.079750061035
2006,..
2007,113.10523223877
2008,108.282829284668
2009,112.316307067871
2010,118.162689208984
2011,126.925796508789
2012,..
2013,109.647888183594
2014,126.629287719727
2015,116.607772827148
2016,90.3614501953125
2017,103.180206298828
2018,112.262161254883
2019,..
2020,..
2021,93.6827011108398
2022,..
2023,..
2024,..
2025,..
