Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,56.6
1974,55.4
1975,54.2
1976,53
1977,51.6
1978,50
1979,48.2
1980,46
1981,43.6
1982,41
1983,38.5
1984,36
1985,33.9
1986,32
1987,30.4
1988,29.1
1989,27.9
1990,27.1
1991,26.4
1992,25.9
1993,25.5
1994,25.1
1995,24.6
1996,24.1
1997,23.6
1998,22.9
1999,22.2
2000,21.3
2001,20.5
2002,19.7
2003,18.9
2004,18.2
2005,17.7
2006,17.3
2007,17
2008,16.8
2009,16.8
2010,16.8
2011,17
2012,17.1
2013,17.3
2014,17.4
2015,17.4
2016,17.3
2017,17
2018,16.7
2019,16.3
2020,15.9
2021,15.5
2022,15
2023,14.6
2024,..
2025,..
