Year,Value
1960,2.63157894736842
1961,4.02773192472763
1962,3.86394557823129
1963,3.93474088291747
1964,4.93611297915266
1965,7.08652007648184
1966,8.38222967309304
1967,9.03942002718623
1968,10.0638884004455
1969,10.5220703562626
1970,11.302899269866
1971,12.5039587711974
1972,16.3335726361131
1973,23.5232180461862
1974,21.7721455957775
1975,22.1822765897843
1976,25.0408174372092
1977,25.521494457138
1978,24.4895803998874
1979,23.1304965313814
1980,27.7265148404142
1981,29.167967931562
1982,26.6900796177254
1983,27.1629017526448
1984,28.1340567542086
1985,26.1157326893893
1986,30.980523809749
1987,33.6848787811033
1988,31.4362645982743
1989,26.4749713546609
1990,24.1685799511012
1991,22.9875474516622
1992,23.2612780314303
1993,22.8587756465728
1994,23.5069868149485
1995,25.0908528792617
1996,24.1509711908027
1997,27.4728903732725
1998,38.2368909900718
1999,31.5122613381554
2000,32.8643016483147
2001,30.8628730280238
2002,28.869081069037
2003,30.4447497818826
2004,35.6099304973786
2005,34.1271966602876
2006,34.4457182771661
2007,36.0414909532161
2008,45.8471508377288
2009,43.5106195264818
2010,45.2718606886955
2011,51.2813207677942
2012,52.0235312085188
2013,49.2338591040691
2014,45.7876203673052
2015,40.9681314540182
2016,38.1129875583911
2017,38.8488899920532
2018,39.4523497931837
2019,37.0413266370488
2020,34.6152001987888
2021,39.3388192669479
2022,45.294860984133
2023,41.3214807367697
2024,44.3582383593234
2025,..
