Year,Value
1960,10.4331811470617
1961,10.2809742276409
1962,9.90214055649858
1963,9.41798529863264
1964,8.96364322781736
1965,8.65918236072191
1966,8.46514380442432
1967,8.36399791439182
1968,8.31153122667975
1969,8.27507030117875
1970,8.2690279685981
1971,8.28744919251129
1972,8.34509923545422
1973,8.42654084094849
1974,8.63448576605466
1975,9.05377273295315
1976,9.48086862311174
1977,9.80000738016735
1978,10.2581492203251
1979,10.8163161029427
1980,11.168957934902
1981,11.3216398749079
1982,11.3438016777346
1983,11.2834820183594
1984,11.1672836131176
1985,11.0368860682218
1986,10.791277067489
1987,10.4377692375515
1988,10.2687495493589
1989,10.3963268474781
1990,10.6379176584026
1991,10.7211349298323
1992,10.6486344552264
1993,10.4963459721069
1994,10.3341897831066
1995,10.2076338019129
1996,9.86638988142343
1997,9.34105565445113
1998,8.90243196239555
1999,8.71894814374542
2000,8.85666933763597
2001,9.02922285124808
2002,9.03682699530591
2003,8.94173588469707
2004,8.73469828915457
2005,8.43899827986286
2006,8.06116833032842
2007,7.64975603720884
2008,7.32912519662235
2009,7.12339344850942
2010,7.01787616283726
2011,6.99312582301128
2012,7.05118640452671
2013,7.1724261399465
2014,7.28877225405185
2015,7.35077413985671
2016,7.36329111246914
2017,7.30338194594916
2018,7.16873748075182
2019,7.00360021503889
2020,6.83519092827528
2021,6.60401418962417
2022,6.30238680680476
2023,6.01080626833709
2024,5.74866023506151
2025,..
