Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,19.7907184578847
1971,20.7578060176207
1972,20.4975735149874
1973,19.9995890583451
1974,17.7887637239417
1975,17.0733473189155
1976,14.2827852879926
1977,11.9816422665157
1978,14.6126037238633
1979,15.557223113768
1980,14.8034991248448
1981,14.6187177679135
1982,13.6057345350301
1983,13.9984083691256
1984,17.4189331026992
1985,..
1986,18.0270230199943
1987,19.6408026782908
1988,18.1354274666366
1989,19.3545645853652
1990,16.7388149835091
1991,10.7323108015673
1992,13.3633171666598
1993,15.0601554310357
1994,16.9733087933769
1995,15.5289372542288
1996,15.6643219607661
1997,15.3046388194633
1998,15.0983647051663
1999,16.82172623484
2000,13.8447910406646
2001,12.5974705169025
2002,12.0135689908453
2003,11.8610626821351
2004,10.989504259397
2005,..
2006,14.4265293009804
2007,12.9034662415455
2008,14.6148470560885
2009,..
2010,15.3224711592641
2011,16.7984035196711
2012,..
2013,14.9606134655017
2014,15.6160360140515
2015,15.84483374297
2016,15.004038165898
2017,15.0544741071025
2018,15.0275119616334
2019,16.4863798431681
2020,20.0546775083583
2021,16.6311056148886
2022,17.6971081288462
2023,17.1095766003205
2024,17.4893557712884
2025,..
