Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,..
1996,..
1997,..
1998,1.57099830545349
1999,1.86047595969758
2000,1.28229690911476
2001,..
2002,..
2003,0.810327367427202
2004,..
2005,2.03614438701328
2006,1.38419834331332
2007,0.919896976774747
2008,0.790154316914836
2009,0.817254309371525
2010,1.12776109391911
2011,0.965984598098223
2012,1.0098509941285
2013,0.866256558483532
2014,0.836943326523325
2015,0.996781071349243
2016,1.1335824605429
2017,1.00250365434747
2018,1.04356726908807
2019,0.88429061702631
2020,1.23301242997565
2021,1.27919502159839
2022,1.30486442176922
2023,1.18989340113148
2024,..
2025,..
