Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,48415140133.6428
1966,50198239687.6439
1967,45787902469.0569
1968,48650704706.6
1969,56450140886.9635
1970,57521530190.9755
1971,65666774874.9835
1972,72209071008.9273
1973,94397336283.2431
1974,126132984824.481
1975,124844641526.18
1976,128426332423.698
1977,138761456941.616
1978,170145389865.774
1979,173963691906.26
1980,134484978549.873
1981,183467917553.427
1982,174651131595.292
1983,144905227415.425
1984,158159273038.03
1985,154932093599.24
1986,157909678650.842
1987,168064097278.776
1988,192663484517.112
1989,215327317321.52
1990,203607713795.919
1991,209566916868.117
1992,225767104409.397
1993,280915664612.538
1994,318668787190.869
1995,280461067957.32
1996,301052837748.566
1997,333855361778.623
1998,329425368247.018
1999,299670450981.952
2000,336781121080.061
2001,325585582260.335
2002,289653034381.417
2003,304265866391.205
2004,344692303872.689
2005,403847675178.296
2006,469827206833.297
2007,540720359001.903
2008,613632706147.416
2009,535192993667.723
2010,660344919594.374
2011,738788592502.36
2012,722793075231.86
2013,723694010278.673
2014,722175136950.379
2015,646339910466.933
2016,620362381922.902
2017,681853622227.014
2018,671597888182.452
2019,653590935582.405
2020,564867648348.355
2021,696335594320.64
2022,838727479848.369
2023,938620915152.033
2024,910540356985.991
2025,..
