Year,Value
1960,48562
1961,48842
1962,49126
1963,49393
1964,49708
1965,50072
1966,50556
1967,51123
1968,51814
1969,52636
1970,53454
1971,54386
1972,55404
1973,56474
1974,57677
1975,58682
1976,57826
1977,57285
1978,58549
1979,59372
1980,59734
1981,59695
1982,58235
1983,56534
1984,56127
1985,56340
1986,57313
1987,58735
1988,60238
1989,62152
1990,64367
1991,67029
1992,70174
1993,73428
1994,76716
1995,80089
1996,83536
1997,86948
1998,90272
1999,93499
2000,96584
2001,99527
2002,102184
2003,104818
2004,107620
2005,110284
2006,113092
2007,116245
2008,119231
2009,122037
2010,124685
2011,127867
2012,133729
2013,149936
2014,169943
2015,184320
2016,197227
2017,208647
2018,217970
2019,225031
2020,231189
2021,235479
2022,240847
2023,249448
2024,258338
2025,..
