Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,0.352851925689384
1968,0.594290972528421
1969,0.765736418888165
1970,1.08695652173913
1971,2.3285458262867
1972,1.57451356725012
1973,0.971498768862687
1974,0.599709297109121
1975,0.542473031518055
1976,0.236690352872092
1977,0.252396765036688
1978,0.224258884101947
1979,0.226797569414728
1980,0.204538739408496
1981,0.282136773041885
1982,0.159714235846282
1983,0.671327313854955
1984,1.42122562099887
1985,1.42122562099886
1986,0.295606591907321
1987,0.0482310834364481
1988,0.63396468604009
1989,0.0431755626315505
1990,0.0071774069095877
1991,0.179007171936587
1992,0.486284123680213
1993,1.13932093647419
1994,0.188760838118943
1995,0.40463275835716
1996,0.0932032044722275
1997,0.128876899875372
1998,0.0599273261889689
1999,0.0810898650743036
2000,1.17072188105484
2001,1.16634305099415
2002,1.16214148743277
2003,1.15650335530275
2004,1.16217395288414
2005,1.16253547770339
2006,1.15945260387477
2007,1.16861841307922
2008,1.17365310750584
2009,1.17310321951931
2010,1.19158608556105
2011,1.20371377336433
2012,1.22185574697679
2013,1.26635997093521
2014,1.35073896335026
2015,1.49751331064943
2016,1.77350551345387
2017,1.93275270800002
2018,1.51485425336636
2019,2.04803341030152
2020,2.42456881249053
2021,4.21843063171079
2022,4.58868940547642
2023,2.85476751756856
2024,..
2025,..
