Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,511736155.296675
1978,730279582.6742
1979,609016691.749113
1980,1135953890.12173
1981,769460071.657945
1982,411075045.384019
1983,326630705.630301
1984,16888867.8944498
1985,-119235407.173716
1986,176920553.658922
1987,211090752.296481
1988,-41992370.1627094
1989,-90119662.0588376
1990,-53676639.760791
1991,81929746.9568094
1992,-249686245.879462
1993,-537503309.768624
1994,98459041.3406381
1995,157122553.953657
1996,163919500.532557
1997,301389048.551733
1998,383682223.859811
1999,354023690.514201
2000,-43000000
2001,308000000
2002,-281000000
2003,-80000000
2004,-71000000
2005,-910000000
2006,-1590000000
2007,-756200000
2008,1776900000
2009,-206000000
2010,938000000
2011,131000000
2012,2508800000
2013,707700000
2014,-77600000
2015,394900000
2016,439500000
2017,-294500000
2018,275600000
2019,-268500000
2020,350400000
2021,-377600000
2022,-641300000
2023,-794700000
2024,..
2025,..
