Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,..
1996,..
1997,..
1998,..
1999,..
2000,1.61668956
2001,2.13841844
2002,3.17035413
2003,2.63191676
2004,2.22574258
2005,1.62736928
2006,1.50322449
2007,1.60953808
2008,1.51853251
2009,2.46476388
2010,2.29442048
2011,2.54379559
2012,2.91900086
2013,3.6518445
2014,3.42913532
2015,4.02187729
2016,4.16492653
2017,3.09533191
2018,3.48153329
2019,3.95533991
2020,5.58700848
2021,4.47216082
2022,3.14845943
2023,6.25568771
2024,..
2025,..
