Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,..
1996,..
1997,..
1998,..
1999,..
2000,429352526
2001,397405403
2002,404946000
2003,431011000
2004,495707481
2005,540828006
2006,603824570
2007,659047468
2008,725324381
2009,724039267
2010,729019264
2011,764294489
2012,740239301
2013,814250921
2014,855503420
2015,913400000
2016,965870000
2017,983420000
2018,..
2019,..
2020,..
2021,..
2022,..
2023,..
2024,..
2025,..
