Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,0.0460257607670744
1987,0.0069918438387261
1988,0.00475191698193163
1989,0.00620286874977466
1990,0.00591671208184042
1991,0.00811714870651003
1992,0.000449871561669139
1993,..
1994,0.62065844735319
1995,0.986490197182288
1996,..
1997,..
1998,0.0329228945808916
1999,0.00803691623524054
2000,0.0139673214340032
2001,0.000348442717915741
2002,0.00479433631657837
2003,0.000755943033938199
2004,0.18247425581272
2005,0.0117840491816938
2006,0.00119443796476119
2007,0.0216943117541056
2008,0.0359974308291169
2009,0.00588350315298206
2010,0.00590392703594385
2011,0.170560015165103
2012,0.0527181628049164
2013,0.364329424702157
2014,0.417008142229137
2015,0.103383953979864
2016,0.191300972070545
2017,0.22390618679948
2018,0.231649986329647
2019,0.178558658499302
2020,0.103015155733746
2021,1.25180412284707
2022,3.19558153048034
2023,2.67460449970047
2024,..
2025,..
