Year,Value
1960,..
1961,..
1962,46.2323434734953
1963,44.9040834170923
1964,50.3576051243197
1965,50.0006360401971
1966,48.9119957728247
1967,50.9460014969132
1968,48.3771747886222
1969,46.4088683774039
1970,46.6736991659258
1971,46.3766059481405
1972,47.3477191149621
1973,42.1776202479667
1974,39.924382902032
1975,39.5824198583814
1976,41.2825837665613
1977,42.4798201322112
1978,39.1581994402282
1979,35.1985528604337
1980,29.2887642672727
1981,27.0667584789189
1982,25.7590535977813
1983,26.4374120370246
1984,26.3412802159687
1985,25.9907039641329
1986,30.4497537436571
1987,26.8657743044948
1988,..
1989,..
1990,17.8482348042963
1991,18.5629323195583
1992,19.3268697048674
1993,20.7821825692505
1994,22.4349598656227
1995,22.5853705659889
1996,22.2431251164823
1997,22.6095831242757
1998,22.608049311596
1999,21.1885289262799
2000,17.9893195167776
2001,19.5911923584403
2002,19.5027451137445
2003,19.9382591702058
2004,18.9757043689887
2005,17.8910924598664
2006,17.2037511910139
2007,18.4093784960667
2008,18.1384471449717
2009,20.8208996524443
2010,18.9807378610753
2011,19.1888066672166
2012,19.1620805404669
2013,20.1741112389818
2014,21.8981604704115
2015,23.8510624041161
2016,24.7704634291982
2017,23.9092731576568
2018,22.8704868698093
2019,23.8236839721332
2020,25.8967542319058
2021,22.7973501501725
2022,23.631226693119
2023,24.3321880053052
2024,24.6517618175518
2025,..
