Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,..
1996,..
1997,..
1998,..
1999,..
2000,..
2001,30.3430480565468
2002,29.2301011662536
2003,28.1904127099525
2004,26.9144052511233
2005,25.5827417908669
2006,24.1536342095923
2007,22.9550613750448
2008,21.8843823829208
2009,21.1436753165428
2010,20.5578105895757
2011,20.2016365489089
2012,19.9389366681924
2013,19.1553595918194
2014,18.9242237923971
2015,19.1898927891192
2016,19.3383908659852
2017,19.3199435357283
2018,19.3205433887295
2019,19.6329856188939
2020,20.2253832457034
2021,20.1565155686429
2022,20.7057903269415
2023,20.6691062772213
2024,..
2025,..
