Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,505
1986,555
1987,589
1988,628
1989,643
1990,668
1991,708
1992,760
1993,809
1994,853
1995,894
1996,956
1997,1039
1998,1135
1999,1189
2000,1228
2001,1243
2002,1285
2003,1299
2004,1283
2005,1435
2006,1430
2007,1479
2008,1556
2009,1739
2010,1918
2011,1963
2012,2031
2013,2110
2014,2221
2015,2362
2016,2444
2017,2490
2018,2623
2019,2697
2020,2429
2021,1653
2022,2568
2023,3132
2024,..
