Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,38.3769543665883
1992,42.5777932306336
1993,46.3053405767109
1994,43.6954394714308
1995,43.5145209358057
1996,48.406305230932
1997,45.3416951261978
1998,42.0544919973546
1999,42.2538770504677
2000,42.6256723351692
2001,42.8485739246116
2002,43.1030878266809
2003,42.8332992880381
2004,42.840471559347
2005,42.8182656642934
2006,43.111543798719
2007,43.7212372704187
2008,43.8784241758399
2009,44.1126185794962
2010,44.3020283016122
2011,44.4134148451236
2012,42.9355017095941
2013,44.5379934722695
2014,45.5282659876807
2015,45.5659383623092
2016,46.5079604490188
2017,45.5216696232903
2018,46.5643007672248
2019,47.0660897659976
2020,45.9635610435397
2021,46.7246841886543
2022,47.0188930391918
2023,47.2795375609099
2024,47.6151920138261
2025,..
