Year,Value
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,1.16194280363899e-14
1970,0
1971,0
1972,0
1973,-6.9590620447062e-15
1974,0
1975,0
1976,-3.1849956062985e-15
1977,0
1978,0.00118423078289497
1979,0.00489319702398144
1980,0.000587771991489062
1981,0.0017311380963551
1982,0.0139448050191681
1983,0
1984,0.00967706486421766
1985,0.0168372418063256
1986,0.0193522498413513
1987,0.0211881524425735
1988,0.0106050184229707
1989,0.00290556606241704
1990,0.0363568592281859
1991,-2.98678216686054e-13
1992,0
1993,-2.54939119244786e-13
1994,0
1995,0
1996,0
1997,0.0231320842007865
1998,0.0301392916983436
1999,0.0133632513084166
2000,0.00946331477355585
2001,0.0111042300948969
2002,0.00408992103499138
2003,0.00132375008006407
2004,0.005037772829824
2005,0.00632326272358115
2006,0
2007,0.0597616335521594
2008,0.0235696496033779
2009,0.00876160260371626
2010,0.225817059795351
2011,0.185011820744716
2012,0.022450268988678
2013,0.0149616455091354
2014,0.0108914695094547
2015,0.20926305566493
2016,0.160531411358255
2017,0.00209943552538862
2018,0.0758760003798999
2019,0.0427197513941612
2020,0.00024159757738965
2021,0.00714850125735269
2022,0.00758885921285127
2023,0.00645272303609431
2024,..
2025,..
