Year,Value
1960,444490796139.404
1961,459016143492.252
1962,476404532700.56
1963,505500975672.878
1964,538503828280.368
1965,549660765629.657
1966,557370086048.024
1967,566481203163.529
1968,588577919114.052
1969,634968893544.64
1970,680717214888.063
1971,713414156777.302
1972,725642912880.839
1973,758836344321.475
1974,795673700419.796
1975,823563277251.27
1976,868707089201.332
1977,918157947414.148
1978,952792223949.268
1979,967505041096.922
1980,1018145156572.85
1981,1038603067435.61
1982,1061602772584.53
1983,1085585618124.01
1984,1114782509814.29
1985,1159009045094.01
1986,1203682223129.6
1987,1247334690460.96
1988,1330846831524.06
1989,1379715273945.31
1990,1450238458342.47
1991,1480997314657.08
1992,1535900909058.73
1993,1571877383230.32
1994,1634247352673.76
1995,1717808121887.39
1996,1826663777206.33
1997,1899271625374.45
1998,1985142302755.74
1999,2091501291424.02
2000,2179416523120.04
2001,2273940489567.97
2002,2376560888152.1
2003,2517822107893.93
2004,2696475663678.25
2005,2877137810224.02
2006,3077563948632.63
2007,3289644609062.87
2008,3440411280371.67
2009,3645240383679.33
2010,3895080148769.77
2011,4080406111509.28
2012,4291453520981.45
2013,4535083461317.46
2014,4812877967723.63
2015,5098466854471.99
2016,5388474762258.99
2017,5682315735975.61
2018,5991115801906.44
2019,6234996041013.08
2020,6010432229160.71
2021,6410605814422.77
2022,6803437747882.44
2023,7212754867718.69
2024,7582925171440.16
