Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,-123610000
1971,49645801.9
1972,197251083
1973,-283806108
1974,403932172.4
1975,1142738844.4
1976,2254154495.5
1977,245024895.5
1978,528409772.1
1979,1477385821.5
1980,2109878864.2
1981,4606588336
1982,3404222182.9
1983,7477053493.8
1984,2093928801.2
1985,450093947.8
1986,-1341604044.1
1987,-2297686727.7
1988,-2784790712.8
1989,-2058218716
1990,-2817438481.9
1991,-1457627747.9
1992,-1550081879.3
1993,365527863.6
1994,1475772242.3
1995,16721117177.2
1996,-404983664.299999
1997,2504841550.6
1998,9726548792.4
1999,2182393781.9
2000,-7164378784.3
2001,23754901579.8
2002,14233134964.2
2003,3796604330
2004,-12953350079.9
2005,-36005199027.7
2006,-24047572158.9
2007,-4661051517.1
2008,9627258844.7
2009,16720756950.2
2010,7606374295.7
2011,-738115384.400001
2012,-6490799765.3
2013,-11549063911.2
2014,-1513406586.9
2015,6154421384.8
2016,4958663510.6
2017,3454384193
2018,30790861608.1
2019,21309198290
2020,43786275584.4
2021,1676515259.3
2022,12985153414.7
2023,-2417127554.5
2024,1726905547.1
2025,..
