Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,..
1996,..
1997,..
1998,..
1999,..
2000,34.8
2001,34.2
2002,33.7
2003,33.2
2004,32.8
2005,32.4
2006,32
2007,31.6
2008,31.2
2009,30.9
2010,30.7
2011,30.6
2012,30.7
2013,30.8
2014,31
2015,31.2
2016,31.6
2017,32.1
2018,32.6
2019,33.1
2020,33.7
2021,34.3
2022,35.1
2023,35.8
2024,..
2025,..
