Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,59.96479493047
1991,57.8959915539965
1992,78.2487838776928
1993,86.821046668083
1994,76.8985131224429
1995,85.0564788833729
1996,83.0424682828042
1997,80.9043197416229
1998,76.8759571209801
1999,72.8575650118203
2000,73.6892778993435
2001,77.0984596593608
2002,79.8036228203826
2003,79.4540229885057
2004,78.3542596243644
2005,69.920183982684
2006,69.3078032366608
2007,70.2006139787249
2008,71.1133472292101
2009,70.6602422190389
2010,0
2011,0
2012,0
2013,0
2014,0
2015,0
2016,0
2017,0
2018,0
2019,0
2020,0
2021,0
2022,..
2023,..
2024,..
2025,..
