Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,..
1996,62.7659568786621
1997,..
1998,62.7659568786621
1999,..
2000,64.0211639404297
2001,..
2002,77.2486801147461
2003,83.9196014404297
2004,72.8155364990234
2005,69.9029159545898
2006,74.8792266845703
2007,76.328498840332
2008,70.6730804443359
2009,69.1943130493164
2010,70.6161117553711
2011,68.7203826904297
2012,72.511848449707
2013,80.568717956543
2014,70.476188659668
2015,70.476188659668
2016,72.8571395874023
2017,72.3809509277344
2018,69.8113174438477
2019,72.1698150634766
2020,78.7735824584961
2021,73.5849075317383
2022,68.8679275512695
2023,72.511848449707
2024,..
2025,..
