Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,..
1996,..
1997,..
1998,..
1999,..
2000,..
2001,..
2002,..
2003,14.06213
2004,14.67982
2005,15.27649
2006,15.76539
2007,14.89709
2008,16.99215
2009,17.6682
2010,22.40099
2011,20.44285
2012,19.70147
2013,19.15043
2014,18.47169
2015,18.59952
2016,19.49595
2017,..
2018,..
2019,..
2020,..
2021,..
2022,..
2023,..
2024,..
