Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,97
1981,109
1982,94
1983,..
1984,58
1985,81
1986,80
1987,69
1988,68
1989,58
1990,41
1991,52
1992,..
1993,73
1994,50
1995,35
1996,52
1997,48
1998,44
1999,24
2000,85
2001,51
2002,41
2003,16
2004,23
2005,24
2006,26
2007,15
2008,48
2009,60
2010,79
2011,85
2012,109
2013,113
2014,128
2015,128
2016,143
2017,156
2018,152
2019,117
2020,129
2021,112
2022,..
2023,..
2024,..
2025,..
