Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,40.704
1992,42.782
1993,34.175
1994,31.878
1995,31.474
1996,29.549
1997,33.459
1998,32.939
1999,32.364
2000,30.268
2001,28.36
2002,28.293
2003,30.934
2004,28.914
2005,32.285
2006,35.331
2007,38.135
2008,37.016
2009,27.458
2010,25.347
2011,25.836
2012,28.679
2013,30.221
2014,32.509
2015,34.553
2016,32.839
2017,33.011
2018,33.127
2019,31.793
2020,29.663
2021,27.877
2022,30.621
2023,30.632
2024,29.832
2025,..
