Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,9.73132
1982,..
1983,..
1984,..
1985,..
1986,9.25504
1987,..
1988,..
1989,9.26483
1990,9.12652
1991,8.84968
1992,8.64891
1993,8.0569
1994,8.06525
1995,7.47518
1996,..
1997,..
1998,..
1999,7.81012
2000,8.65662
2001,9.36639
2002,9.3365
2003,9.99382
2004,9.92732
2005,9.92012
2006,9.9486
2007,9.87078
2008,9.78732
2009,9.78279
2010,9.60995
2011,9.67628
2012,9.71192
2013,..
2014,..
2015,..
2016,13.38868
2017,13.32609
2018,11.8808
2019,..
2020,..
2021,..
2022,..
2023,..
2024,..
2025,..
