Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,..
1996,..
1997,..
1998,..
1999,..
2000,21.5
2001,21.5
2002,21.67
2003,21.94
2004,21.54
2005,21.95
2006,22.24
2007,..
2008,21.9
2009,22.02
2010,21.44
2011,23.05
2012,12.5
2013,13.31
2014,14.37
2015,16.14
2016,15.75
2017,15.95
2018,15.05
2019,15.08
2020,15.11
2021,12.56
2022,13.47
2023,..
2024,..
2025,..
