Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,45.3249684825954
1991,45.3870113718566
1992,45.5117989515121
1993,45.6829835058606
1994,45.8351018440336
1995,45.9400659655298
1996,46.1366157991121
1997,46.4786591648557
1998,46.8817948606597
1999,47.2487815090906
2000,47.4712130697024
2001,47.5636457765126
2002,47.6385901373556
2003,47.6865323005042
2004,47.6948545299371
2005,47.712243079501
2006,47.5790554335413
2007,47.2174513635374
2008,46.8091184285522
2009,46.5038925692802
2010,46.4225143127245
2011,47.6722824759059
2012,51.9448313519894
2013,53.5618986977738
2014,52.4164260276691
2015,53.4997565186542
2016,51.6291694822837
2017,48.6324222751108
2018,50.5448634555908
2019,46.1568632964845
2020,39.7214311766558
2021,..
2022,..
2023,..
2024,..
2025,..
