Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,5.45918367346939
1980,8.29604772557793
1981,8.00335570469799
1982,8.52044907778669
1983,9.62283384301733
1984,9.50633755837225
1985,9.51127200921507
1986,9.24384027187766
1987,9.45408018197327
1988,8.19380121125757
1989,6.76853756489372
1990,7.65928215696376
1991,6.97422401114637
1992,6.99101155657012
1993,6.28307321320919
1994,6.61343028011741
1995,7.91893362350381
1996,8.51498774805855
1997,7.28229468429444
1998,10.7718357384932
1999,9.91967053309029
2000,8.11619746779035
2001,8.24955635132309
2002,14.4256132145545
2003,15.3355874201675
2004,15.1674753985703
2005,14.6690952678604
2006,15.7519803014847
2007,16.6458723352038
2008,18.3145833153517
2009,17.5823055993715
2010,18.752357507
2011,20.1574847780414
2012,20.9664552338859
2013,18.5963535751772
2014,16.832945269126
2015,16.4926150877235
2016,15.1635515594081
2017,14.5315263832509
2018,15.9983410088188
2019,15.6698281899864
2020,16.984815746382
2021,17.0396547035577
2022,16.0007870845568
2023,15.1150851993081
2024,16.3449673356052
2025,..
