Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,0.2565
1971,0.2561
1972,0.2797
1973,0.3114
1974,0.3227
1975,0.3339
1976,0.3606
1977,0.3817
1978,0.4151
1979,0.4687
1980,0.5339
1981,0.6043
1982,0.6057
1983,0.5445
1984,0.5664
1985,0.5582
1986,0.6639
1987,0.6839
1988,0.7077
1989,0.7856
1990,0.8036
1991,0.8636
1992,0.8686
1993,0.8658
1994,0.8779
1995,0.7865
1996,0.7758
1997,0.7861
1998,0.791
1999,0.7918
2000,0.7937
2001,0.8156
2002,0.8298
2003,0.858
2004,0.8866
2005,0.9146
2006,0.9523
2007,0.9887
2008,1.0211
2009,0.9825
2010,0.9695
2011,0.9587
2012,0.9402
2013,0.9082
2014,0.859
2015,0.834
2016,0.8325
2017,0.7849
2018,0.7352
2019,0.7504
2020,0.5523
2021,0.5494
2022,0.6941
2023,0.6724
2024,0.6771
2025,..
