Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,604.867305551783
1971,649.604768726184
1972,725.063953705676
1973,864.875615483495
1974,1085.34297423871
1975,1278.31176925609
1976,1246.99030998592
1977,1104.18401326958
1978,1340.00147603349
1979,1671.01498714738
1980,2459.60914488781
1981,3102.6810186771
1982,1997.94374034546
1983,1554.48085798736
1984,1810.48204376105
1985,1929.36995312729
1986,1267.87214965467
1987,1363.30070251622
1988,1728.92016016548
1989,2112.30096501511
1990,2481.33112580527
1991,3042.08137489361
1992,3476.81318477591
1993,4810.56601497136
1994,4979.2457831752
1995,3126.54206795584
1996,3531.54510962176
1997,4373.86020835695
1998,4563.20680528816
1999,5126.57548848059
2000,5915.82171011882
2001,6276.27060814213
2002,6286.15252243782
2003,5732.84895489499
2004,6036.26169878541
2005,6543.66474182415
2006,7195.6337665333
2007,7668.30164523624
2008,7868.49407274107
2009,6300.81439813111
2010,7366.4535116167
2011,7895.61204564625
2012,7902.19300156704
2013,8273.18629239973
2014,8590.45619553549
2015,7687.13214773111
2016,6958.92736281275
2017,7373.22454599094
2018,7618.07875434393
2019,7866.61444224569
2020,6535.72718632288
2021,7443.53351798716
2022,..
2023,..
2024,..
2025,..
