Year,Value
1960,180313409732.8
1961,193653830584.354
1962,210742793364.278
1963,229398850211.275
1964,245100715712.6
1965,334434439046.494
1966,372596504319.699
1967,341369032494.419
1968,357787329256.843
1969,386462311677.155
1970,410483448220.781
1971,428747400500.13
1972,515588510548.038
1973,606387797800.323
1974,639353524549.941
1975,553602835510.448
1976,624348865539.451
1977,598782238973.703
1978,686452034410.021
1979,841947639674.967
1980,1060529363335.95
1981,1217469157397.59
1982,1397519603056.88
1983,1255758517713.92
1984,1334508931036.68
1985,1214238215822.56
1986,971034706768.704
1987,1152117721558.05
1988,1162470438617.59
1989,1306799846700.22
1990,1482145334857.08
1991,1556978177479.18
1992,1665823568173.66
1993,1742063588627.62
1994,2009357427461.35
1995,2343873063652.68
1996,2701468728136.15
1997,3113758129873.59
1998,3332134567086.17
1999,3788572568828.44
2000,4544549729453.63
2001,4458651133196.74
2002,4654447617075.3
2003,4840872088046.46
2004,5111855229465.21
2005,5469459926698.29
2006,5950575272301.34
2007,6223331380710.4
2008,6325444501549.8
2009,5423836952619.35
2010,6451531170592.48
2011,6858723585920.31
2012,7277837505064.84
2013,7534843060069.81
2014,7992567729287.79
2015,8199663248356.41
2016,8448625000629.02
2017,8965248195823.79
2018,9439522364000
2019,9743804510714.61
2020,9037329200577.81
2021,9573946762940.96
2022,10198002558282.4
2023,10861595084694.9
2024,11244701041033.1
2025,..
