Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,..
1996,..
1997,182654900
1998,189188800
1999,193014300
2000,197319600
2001,208941900
2002,212480400
2003,209271800
2004,208800000
2005,216800000
2006,215100000
2007,222900000
2008,209500000
2009,212500000
2010,215100000
2011,214000000
2012,205800000
2013,218200000
2014,221600000
2015,242200000
2016,244400000
2017,244900000
2018,254300000
2019,279000000
2020,271300000
2021,255319534.301758
2022,254351882.93457
2023,260174591.064453
2024,269762298.583984
2025,..
