Year,Value
1960,1.13741568575585
1961,1.11849674038093
1962,1.10039564787339
1963,1.09988642477135
1964,1.08192548021291
1965,1.08829799169752
1966,1.13859228590107
1967,1.09998957355854
1968,0.895666908738804
1969,0.627782724844167
1970,0.464046822742475
1971,0.489779396883222
1972,0.608640305513565
1973,0.693003406287929
1974,0.695612291698517
1975,0.633122292569144
1976,0.563370173675901
1977,0.507790762381747
1978,0.485485991706281
1979,0.477233354035237
1980,0.467939800177058
1981,0.456079540271823
1982,0.428633911648928
1983,0.408677396780966
1984,0.411400914224254
1985,0.431513397586626
1986,0.457347385166037
1987,0.476293051865681
1988,0.482667836770513
1989,0.473030534008878
1990,0.448833034111311
1991,0.426745582432664
1992,0.419159154098913
1993,0.421135613965936
1994,0.427954215041874
1995,0.435134588140053
1996,0.432432432432432
1997,0.418053574258995
1998,0.382630535878971
1999,0.338120129807038
2000,0.311724297177163
2001,0.301607299660215
2002,0.307452885692054
2003,0.317538321961177
2004,0.337385731787767
2005,0.361180609116048
2006,0.364387678437265
2007,0.35469644365206
2008,0.341668543966359
2009,0.319290798790451
2010,0.285178236397749
2011,0.259310759517457
2012,0.255972696245734
2013,0.269318815766693
2014,0.285848539431436
2015,0.303690235959321
2016,0.327051224398021
2017,0.348001090123897
2018,0.383480190447465
2019,0.42795689387556
2020,0.461682627476973
2021,0.502536274625457
2022,0.555028116555905
2023,0.607933278066672
2024,0.654987783957998
2025,..
