Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,0.0054
1971,0.0056
1972,0.0056
1973,0.0055
1974,0.0054
1975,0.0057
1976,0.0059
1977,0.0059
1978,0.0059
1979,0.006
1980,0.0063
1981,0.006
1982,0.0058
1983,0.0059
1984,0.0059
1985,0.0062
1986,0.0059
1987,0.0062
1988,0.0063
1989,0.0066
1990,0.0066
1991,0.0068
1992,0.0068
1993,0.0069
1994,0.0081
1995,0.0084
1996,0.0079
1997,0.0077
1998,0.0089
1999,0.0081
2000,0.0085
2001,0.0087
2002,0.0082
2003,0.0087
2004,0.0088
2005,0.0088
2006,0.0093
2007,0.0078
2008,0.0078
2009,0.0079
2010,0.008
2011,0.008
2012,0.0081
2013,0.0082
2014,0.0082
2015,0.0083
2016,0.0083
2017,0.0083
2018,0.008
2019,0.0078
2020,0.0075
2021,0.0076
2022,0.0076
2023,0.0074
2024,0.0073
2025,..
