Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,115.539678143387
1971,114.449956576516
1972,113.984501018105
1973,133.809610897969
1974,175.721901633694
1975,160.024334612201
1976,161.905584373852
1977,167.3529782174
1978,154.085617858243
1979,164.008507735207
1980,167.340007125639
1981,153.105880348949
1982,138.159448853778
1983,133.464326909689
1984,138.894541381954
1985,143.65219556728
1986,138.159532272718
1987,148.047962394322
1988,150.318174762312
1989,154.602522648659
1990,164.48373762214
1991,165.237809769569
1992,170.465395838559
1993,178.905434820049
1994,181.70194942775
1995,177.062373580128
1996,164.098596075226
1997,155.659193993538
1998,157.046508810061
1999,165.170976831894
2000,189.601219315487
2001,161.325360314794
2002,162.524076154238
2003,154.574161735034
2004,155.889918335599
2005,157.548497842721
2006,182.434055594702
2007,184.831334251527
2008,185.749523785473
2009,163.556848449111
2010,178.232955302139
2011,192.027341380783
2012,199.213865142839
2013,187.432252850045
2014,181.301127112959
2015,207.196019855244
2016,213.359473242677
2017,213.047591025756
2018,228.098550737111
2019,233.070441910537
2020,242.361190735857
2021,220.165634087757
2022,245.160375092004
2023,221.061835472405
2024,218.170552427881
2025,..
