Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,111663000
1971,105254000
1972,123962200
1973,145903600
1974,185984900
1975,260092100
1976,333083500
1977,388986900
1978,450710100
1979,532068700
1980,615826700
1981,656038400
1982,697180900
1983,672935600
1984,682891200
1985,695474900
1986,734400100
1987,757086200
1988,813657100
1989,899297900
1990,957511400
1991,1034268400
1992,1049300600
1993,1097468900
1994,1237294700
1995,799806173.076561
1996,835266309.461219
1997,869451163.287009
1998,951556592.387388
1999,945885153.450424
2000,1112277150.16261
2001,1017806680.1793
2002,1114607251.57815
2003,1168194511.01991
2004,1089345883.09659
2005,1066208467.49772
2006,1065500978.56096
2007,1069451873.48355
2008,1203779518.5422
2009,1110062546.82752
2010,1197046380.08665
2011,1156584815.10088
2012,1127553531.69935
2013,1183605762.02541
2014,1170104381.48126
2015,1235709014.36789
2016,1334015220.94473
2017,1436062660.31005
2018,1575281027.03003
2019,1760978828.64187
2020,1754058022.17713
2021,1910102081.17493
2022,2030910025.40159
2023,2318788014.38566
2024,2460463408.11886
2025,..
