Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,..
1996,0.54347825050354
1997,..
1998,0
1999,..
2000,0
2001,..
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0.947867274284363
2013,1.89573454856873
2014,3.36538457870483
2015,4.2857141494751
2016,10
2017,10.4761905670166
2018,11.9047622680664
2019,11.4285717010498
2020,14.7619047164917
2021,5.7142858505249
2022,4.24528312683105
2023,3.77358484268188
2024,..
2025,..
