Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,..
1996,..
1997,..
1998,..
1999,..
2000,29.6960415109396
2001,30.1293740129671
2002,28.7510250158368
2003,28.6988561226917
2004,32.6617130605869
2005,37.8446615972743
2006,41.9439035266244
2007,49.3388119520977
2008,57.8452383327059
2009,63.7201486268222
2010,73.3290680757491
2011,80.4149280708357
2012,84.4569998948744
2013,74.8991761562681
2014,73.1459032277202
2015,75.388689634127
2016,70.2147410826055
2017,68.9510714456223
2018,66.8237238501716
2019,64.2748737539865
2020,59.9236520111262
2021,62.7100486086718
2022,65.5819360023937
2023,66.3596021530133
2024,..
2025,..
