Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,455
1991,490
1992,523
1993,551
1994,571
1995,578
1996,568
1997,543
1998,503
1999,458
2000,418
2001,386
2002,369
2003,368
2004,375
2005,389
2006,402
2007,415
2008,423
2009,427
2010,424
2011,414
2012,397
2013,371
2014,342
2015,314
2016,292
2017,273
2018,260
2019,249
2020,240
2021,232
2022,223
2023,213
2024,..
2025,..
