Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,..
1996,..
1997,..
1998,..
1999,..
2000,1.5789065113329
2001,1.51895347946707
2002,1.45900044760124
2003,1.39904741573541
2004,1.33909438386958
2005,1.27914135200375
2006,1.21918832013792
2007,1.15923528827209
2008,1.09928225640625
2009,1.03932922454042
2010,0.979376192674593
2011,0.919423160808776
2012,0.859470128942945
2013,0.799517097077114
2014,0.739564065211283
2015,0.679611033345452
2016,0.619658001479621
2017,0.55970496961379
2018,0.499751937747959
2019,0.439798905882128
2020,0.379845874016297
2021,0.319892842150466
2022,0.259939810284635
2023,0.199986778418804
2024,0.140033746552973
2025,..
