Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,..
1996,..
1997,..
1998,55.93
1999,..
2000,100
2001,..
2002,35.8
2003,56.04
2004,..
2005,..
2006,55.648
2007,55.6
2008,55.146
2009,55.044
2010,55.475
2011,57.701
2012,58.299
2013,56.971
2014,57.208
2015,56.909
2016,54.477
2017,55.77
2018,56.275
2019,59.46
2020,59.12
2021,56.196
2022,58.561
2023,57.321
2024,58.24
2025,..
