Year,Value
1960,..
1961,1030700
1962,1030700
1963,1030700
1964,1030700
1965,1030700
1966,1030700
1967,1030700
1968,1030700
1969,1030700
1970,1030700
1971,1030700
1972,1030700
1973,1030700
1974,1030700
1975,1030700
1976,1030700
1977,1030700
1978,1030700
1979,1030700
1980,1030700
1981,1030700
1982,1030700
1983,1030700
1984,1030700
1985,1030700
1986,1030700
1987,1030700
1988,1030700
1989,1030700
1990,1030700
1991,1030700
1992,1030700
1993,1030700
1994,1030700
1995,1030700
1996,1030700
1997,1030700
1998,1030700
1999,1030700
2000,1030700
2001,1030700
2002,1030700
2003,1030700
2004,1030700
2005,1030700
2006,1030700
2007,1030700
2008,1030700
2009,1030700
2010,1030700
2011,1030700
2012,1030700
2013,1030700
2014,1030700
2015,1030700
2016,1030700
2017,1030700
2018,1030700
2019,1030700
2020,1030700
2021,1030700
2022,1030700
2023,1030700
2024,..
2025,..
