Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,0.3065
1971,0.3066
1972,0.3358
1973,0.3741
1974,0.4433
1975,0.4618
1976,0.51
1977,0.5919
1978,0.6198
1979,0.624
1980,0.5825
1981,0.6022
1982,0.5545
1983,0.6307
1984,0.6777
1985,0.6364
1986,0.7882
1987,0.8335
1988,0.9229
1989,1.0403
1990,1.1871
1991,1.2714
1992,1.3431
1993,1.4807
1994,1.525
1995,1.5621
1996,1.6364
1997,1.6434
1998,1.8025
1999,2.2091
2000,2.4433
2001,2.5836
2002,2.6372
2003,2.7615
2004,2.7849
2005,2.9793
2006,3.3223
2007,3.4143
2008,3.4879
2009,3.4382
2010,3.6757
2011,3.6565
2012,3.7437
2013,3.8572
2014,3.9905
2015,3.9907
2016,4.0649
2017,4.2071
2018,4.1718
2019,4.2052
2020,3.745
2021,3.9879
2022,4.0499
2023,4.3225
2024,4.4055
2025,..
