Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,64.173
1991,64.235
1992,64.256
1993,64.237
1994,64.182
1995,64.093
1996,63.95
1997,63.805
1998,63.667
1999,63.529
2000,63.396
2001,62.1
2002,62.87
2003,65.067
2004,63.611
2005,64.044
2006,63.837
2007,62.988
2008,63.103
2009,63.335
2010,64.209
2011,63.636
2012,63.95
2013,65.261
2014,65.718
2015,66.481
2016,66.069
2017,66.586
2018,66.464
2019,67.393
2020,63.413
2021,60.423
2022,64.161
2023,68.349
2024,68.444
2025,..
