Year,Value
1960,3.00155365550004
1961,3.09914819451604
1962,3.20159030278282
1963,3.26806186710497
1964,3.31327775337678
1965,3.36453155174212
1966,3.41943667468939
1967,3.4726499094047
1968,3.5209791806506
1969,3.56489349805405
1970,3.60567382570039
1971,3.6456144376485
1972,3.69773554114996
1973,3.77474514373032
1974,3.86605024969679
1975,3.9518120589219
1976,4.02410618635064
1977,4.09199394395859
1978,4.1691861838056
1979,4.25527498251519
1980,4.33554876464029
1981,4.40427231025425
1982,4.46981246114439
1983,4.53263669874615
1984,4.59140182627631
1985,4.66107709424831
1986,4.75251939626944
1987,4.86356585386041
1988,4.99791508691996
1989,5.15524423271021
1990,5.32362249299487
1991,5.48470093133438
1992,5.61699786162284
1993,5.71660822850008
1994,5.79352107369251
1995,5.85008628490357
1996,5.88131182386643
1997,5.90417027463937
1998,5.95223601598353
1999,6.02890061004659
2000,6.11764396444765
2001,6.20659470827647
2002,6.28631484609454
2003,6.35746681925789
2004,6.42863115243685
2005,6.50179165854687
2006,6.57606285268684
2007,6.65992657846262
2008,6.78417743118618
2009,6.96762712553519
2010,7.18822149520215
2011,7.42446941420405
2012,7.69584306181497
2013,8.02578034498505
2014,8.4197462160542
2015,8.87991763366248
2016,9.38091590555375
2017,9.89137298503473
2018,10.3966493732511
2019,10.8947577102786
2020,11.4011750101113
2021,11.9015085296574
2022,12.3957639095405
2023,12.9415870752551
2024,13.5258962419631
2025,..
