Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,..
1996,..
1997,..
1998,..
1999,..
2000,53.1
2001,52.8
2002,52.5
2003,52
2004,51.3
2005,50.6
2006,49.7
2007,48.5
2008,47
2009,45.4
2010,43.7
2011,42
2012,40.3
2013,38.8
2014,37.3
2015,36
2016,34.8
2017,33.7
2018,32.8
2019,31.9
2020,31.1
2021,30.6
2022,30.4
2023,30.2
2024,30.2
2025,..
