Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,9.91852952273156
1992,9.77584038928882
1993,9.7969561564584
1994,9.68448863321134
1995,9.72176219658364
1996,9.71647951163792
1997,9.71581042347833
1998,9.70355756858259
1999,9.66550228881585
2000,9.62393846708602
2001,9.48763693153016
2002,9.42543890083964
2003,9.45275156879051
2004,9.47890663060704
2005,9.46468069325533
2006,9.50026761892699
2007,9.61299137690426
2008,9.65408771232136
2009,9.71261311079124
2010,9.75304537512165
2011,9.77901968739867
2012,9.75598780577083
2013,9.80541993257284
2014,9.84816962158572
2015,9.85604151333831
2016,9.85361019397308
2017,9.87779998553469
2018,9.93307846475869
2019,9.99795485285271
2020,9.75043483704111
2021,9.92089254302276
2022,9.84448767219972
2023,9.84978201778357
2024,9.83458233365753
2025,..
