Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,..
1996,46.38
1997,46.38
1998,46.38
1999,..
2000,46.52
2001,46.52
2002,..
2003,45.62
2004,..
2005,..
2006,45.62
2007,..
2008,45.43
2009,45.43
2010,45.43
2011,45.43
2012,45.43
2013,45.43
2014,45.53
2015,45.53
2016,45.53
2017,..
2018,..
2019,45.62
2020,45.62
2021,45.62
2022,..
2023,..
2024,..
2025,..
