Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,14.3541575771545
1992,14.323568769294
1993,14.3169064433666
1994,14.2980469678582
1995,14.2210154028555
1996,14.126085940973
1997,13.9897064862237
1998,13.5680815380518
1999,13.1251985255975
2000,12.6697848374948
2001,12.1624274496415
2002,11.6214630397969
2003,11.035129457723
2004,10.3886628538622
2005,9.73482205163992
2006,9.02959143852065
2007,8.30248545742993
2008,7.57152125418818
2009,6.85685598743729
2010,6.18828120772685
2011,5.9644435080192
2012,5.76489281498458
2013,4.59200408178141
2014,6.14754492928632
2015,4.99541476996509
2016,3.88023407729236
2017,4.22291258887946
2018,4.57673679825018
2019,4.69581679094867
2020,4.87544441763987
2021,4.5794566052325
2022,4.65414185899189
2023,4.6925826045088
2024,4.70560533256458
2025,..
